3.061616997868378704e-16,-7.498798913309267239e-32,5.000000000000000000e+00
3.061616997868378704e-16,-7.498798913309267239e-32,-5.000000000000000000e+00
8.229729514036708826e-01,-2.015702381442708820e-16,-4.931806517013611391e+00
1.623497346023416776e+00,-3.976421656463594870e-16,-4.729086208503173516e+00
2.379736965185369257e+00,-5.828674514453789636e-16,-4.397368756032444814e+00
3.071063563448341860e+00,-7.521936325910141741e-16,-3.945702546981965764e+00
3.678619553365662487e+00,-9.010019322620236351e-16,-3.386407858128701154e+00
4.185832391312644951e+00,-1.025233247957667025e-15,-2.734740790612130823e+00
4.578866633275289644e+00,-1.121498873232638578e-15,-2.008477123264841069e+00
4.847001329696654537e+00,-1.187172932775192929e-15,-1.227427435703987380e+00
4.982922465033349901e+00,-1.220464009440504528e-15,-4.128967273616551692e-01
4.982922465033349013e+00,-1.220464009440504331e-15,4.128967273616659384e-01
4.847001329696650984e+00,-1.187172932775191943e-15,1.227427435703997816e+00
4.578866633275286979e+00,-1.121498873232637987e-15,2.008477123264847286e+00
4.185832391312645839e+00,-1.025233247957667223e-15,2.734740790612129047e+00
3.678619553365663819e+00,-9.010019322620240295e-16,3.386407858128699377e+00
3.071063563448344080e+00,-7.521936325910147658e-16,3.945702546981963987e+00
2.379736965185375475e+00,-5.828674514453804427e-16,4.397368756032441262e+00
1.623497346023427657e+00,-3.976421656463621494e-16,4.729086208503169964e+00
8.229729514036776550e-01,-2.015702381442725337e-16,4.931806517013610502e+00
4.128967273616618860e-01,-1.011305311083751795e-16,-4.982922465033349013e+00
1.227427435703993819e+00,-3.006330160641075066e-16,-4.847001329696652761e+00
2.008477123264847730e+00,-4.919350160333952358e-16,-4.578866633275286979e+00
2.734740790612136152e+00,-6.698183111441699848e-16,-4.185832391312641398e+00
3.386407858128708703e+00,-8.294307088129523038e-16,-3.678619553365654493e+00
3.945702546981970205e+00,-9.664183989098044108e-16,-3.071063563448336975e+00
4.397368756032448367e+00,-1.077044714349141814e-15,-2.379736965185363040e+00
4.729086208503175293e+00,-1.158292057627059615e-15,-1.623497346023410337e+00
4.931806517013612279e+00,-1.207944213014953699e-15,-8.229729514036642213e-01
5.000000000000000000e+00,-1.224646799147351482e-15,3.216245299353274680e-15
4.931806517013611391e+00,-1.207944213014953502e-15,8.229729514036705496e-01
4.729086208503173516e+00,-1.158292057627059220e-15,1.623497346023416554e+00
4.397368756032447479e+00,-1.077044714349141419e-15,2.379736965185364816e+00
3.945702546981974201e+00,-9.664183989098053969e-16,3.071063563448331202e+00
3.386407858128710924e+00,-8.294307088129527969e-16,3.678619553365653605e+00
2.734740790612142369e+00,-6.698183111441714639e-16,4.185832391312637846e+00
