3.061616997868378704e-16,-7.498798913309267239e-32,5.000000000000000000e+00
3.061616997868378704e-16,-7.498798913309267239e-32,-5.000000000000000000e+00
6.026834012766115745e-01,-1.476148596545282363e-16,-4.963544370490270197e+00
1.196578321437786974e+00,-2.930771622555792777e-16,-4.854709087130260947e+00
1.773024435212673611e+00,-4.342657398786482767e-16,-4.675081213427075610e+00
2.323615860218835927e+00,-5.691217451330033763e-16,-4.427280128266052550e+00
2.840323733655770067e+00,-6.956786737927586652e-16,-4.114919329468287756e+00
3.315613291203965751e+00,-8.120910408566703615e-16,-3.742553740855514288e+00
3.742553740855498301e+00,-9.166612918751264678e-16,-3.315613291203984403e+00
4.114919329468273546e+00,-1.007864557116577451e-15,-2.840323733655790939e+00
4.427280128266043668e+00,-1.084370887601937144e-15,-2.323615860218853690e+00
4.675081213427070281e+00,-1.145064648755475547e-15,-1.773024435212688044e+00
4.854709087130256506e+00,-1.189060788869125781e-15,-1.196578321437801851e+00
4.963544370490268420e+00,-1.215717745149352642e-15,-6.026834012766270066e-01
5.000000000000000000e+00,-1.224646799147351482e-15,-1.010643099614860380e-14
4.963544370490271973e+00,-1.215717745149353431e-15,6.026834012766024706e-01
4.854709087130262724e+00,-1.189060788869127359e-15,1.196578321437778092e+00
4.675081213427077387e+00,-1.145064648755477322e-15,1.773024435212669170e+00
4.427280128266052550e+00,-1.084370887601939313e-15,2.323615860218835927e+00
4.114919329468285092e+00,-1.007864557116580212e-15,2.840323733655774063e+00
3.742553740855508071e+00,-9.166612918751288344e-16,3.315613291203972857e+00
3.315613291203981738e+00,-8.120910408566743058e-16,3.742553740855500966e+00
2.840323733655783389e+00,-6.956786737927619193e-16,4.114919329468278875e+00
2.323615860218846141e+00,-5.691217451330059401e-16,4.427280128266048109e+00
1.773024435212680272e+00,-4.342657398786499037e-16,4.675081213427072946e+00
1.196578321437793635e+00,-2.930771622555809047e-16,4.854709087130259171e+00
6.026834012766184578e-01,-1.476148596545299126e-16,4.963544370490269309e+00
3.018924871114280206e-01,-7.394233360552867778e-17,-4.990877771116587702e+00
9.012751890695280821e-01,-2.207487550889843138e-16,-4.918099534735718592e+00
1.487515269276011853e+00,-3.643361626403357129e-16,-4.773604332542729090e+00
2.052064027263778456e+00,-5.026107285268019273e-16,-4.559499229960453093e+00
2.586689070888276376e+00,-6.335560982105528494e-16,-4.278906361507242906e+00
3.083594363142705852e+00,-7.552627933383060756e-16,-3.935917403045258833e+00
3.535533905932727095e+00,-8.659560562354894894e-16,-3.535533905932748411e+00
3.935917403045243290e+00,-9.640217298695426386e-16,-3.083594363142725392e+00
4.278906361507232248e+00,-1.048029795894214492e-15,-2.586689070888293251e+00
